,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,337,Dcover Jcover-fuzz,time(Seconds):,479,Jcover test verification on,time(Seconds):,552
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
easyexcel,com.alibaba.excel.write.executor,ExcelWriteAddExecutor,,,,107,0,0.0,107,0,0.0,103,4,0.037383177570093455
easyexcel,com.alibaba.excel.write.executor,AbstractExcelWriteExecutor,,,,75,0,0.0,75,0,0.0,72,3,0.04
easyexcel,com.alibaba.excel.write.executor,ExcelWriteFillExecutor,,,,241,0,0.0,241,0,0.0,241,0,0.0
easyexcel,com.alibaba.excel.write.metadata.holder,WriteTableHolder,,,,0,15,1.0,0,15,1.0,9,6,0.4
easyexcel,com.alibaba.excel.write.metadata.holder,WriteSheetHolder,,,,29,18,0.3829787234042553,29,18,0.3829787234042553,28,19,0.40425531914893614
easyexcel,com.alibaba.excel.write.metadata.holder,AbstractWriteHolder,,,,89,117,0.5679611650485437,89,117,0.5679611650485437,88,118,0.5728155339805825
easyexcel,com.alibaba.excel.write.metadata.holder,AbstractWriteHolder.new AbstractHeadColumnWidthStyleStrategy() {...},n/a,n/a,Could not find file,6,0,0.0,6,0,0.0,6,0,0.0
easyexcel,com.alibaba.excel.write.metadata.holder,AbstractWriteHolder.new AbstractHeadColumnWidthStyleStrategy() {...},n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,4,0,0.0
easyexcel,com.alibaba.excel.write.metadata.holder,WriteWorkbookHolder,,,,10,74,0.8809523809523809,10,74,0.8809523809523809,23,61,0.7261904761904762
easyexcel,com.alibaba.excel.converters,DefaultConverterLoader,,,,1,57,0.9827586206896551,1,57,0.9827586206896551,1,57,0.9827586206896551
easyexcel,com.alibaba.excel.converters,AutoConverter,,,,0,5,1.0,0,5,1.0,0,5,1.0
easyexcel,com.alibaba.excel.converters,ConverterKeyBuild,,,,2,15,0.8823529411764706,2,15,0.8823529411764706,2,15,0.8823529411764706
easyexcel,com.alibaba.excel.constant,ExcelXmlConstants,,,,1,0,0.0,1,0,0.0,1,0,0.0
easyexcel,com.alibaba.excel.metadata.property,ExcelContentProperty,,,,2,14,0.875,2,14,0.875,0,16,1.0
easyexcel,com.alibaba.excel.metadata.property,ColumnWidthProperty,,,,3,6,0.6666666666666666,3,6,0.6666666666666666,0,9,1.0
easyexcel,com.alibaba.excel.metadata.property,DateTimeFormatProperty,,,,3,10,0.7692307692307693,3,10,0.7692307692307693,0,13,1.0
easyexcel,com.alibaba.excel.metadata.property,NumberFormatProperty,,,,3,10,0.7692307692307693,3,10,0.7692307692307693,0,13,1.0
easyexcel,com.alibaba.excel.metadata.property,RowHeightProperty,,,,6,6,0.5,6,6,0.5,3,9,0.75
easyexcel,com.alibaba.excel.metadata.property,ExcelHeadProperty,,,,119,25,0.1736111111111111,119,25,0.1736111111111111,38,106,0.7361111111111112
easyexcel,com.alibaba.excel.analysis,ExcelAnalyserImpl,,,,89,7,0.07291666666666667,89,7,0.07291666666666667,96,0,0.0
easyexcel,com.alibaba.excel.converters.longconverter,LongNumberConverter,,,,1,4,0.8,1,4,0.8,1,4,0.8
easyexcel,com.alibaba.excel.converters.longconverter,LongBooleanConverter,,,,4,7,0.6363636363636364,3,8,0.7272727272727273,3,8,0.7272727272727273
easyexcel,com.alibaba.excel.converters.longconverter,LongStringConverter,,,,1,4,0.8,1,4,0.8,1,4,0.8
easyexcel,com.alibaba.excel.converters.booleanconverter,BooleanBooleanConverter,,,,0,5,1.0,0,5,1.0,0,5,1.0
easyexcel,com.alibaba.excel.converters.booleanconverter,BooleanNumberConverter,,,,4,5,0.5555555555555556,3,6,0.6666666666666666,3,6,0.6666666666666666
easyexcel,com.alibaba.excel.converters.booleanconverter,BooleanStringConverter,,,,0,5,1.0,0,5,1.0,0,5,1.0
easyexcel,com.alibaba.excel.converters.integer,IntegerNumberConverter,,,,1,4,0.8,1,4,0.8,1,4,0.8
easyexcel,com.alibaba.excel.converters.integer,IntegerBooleanConverter,,,,4,7,0.6363636363636364,3,8,0.7272727272727273,3,8,0.7272727272727273
easyexcel,com.alibaba.excel.converters.integer,IntegerStringConverter,,,,1,4,0.8,1,4,0.8,1,4,0.8
easyexcel,com.alibaba.excel.write.style,HorizontalCellStyleStrategy,,,,12,13,0.52,12,13,0.52,4,21,0.84
easyexcel,com.alibaba.excel.write.style,AbstractVerticalCellStyleStrategy,,,,31,0,0.0,31,0,0.0,31,0,0.0
easyexcel,com.alibaba.excel.write.style,AbstractCellStyleStrategy,,,,8,7,0.4666666666666667,8,7,0.4666666666666667,8,7,0.4666666666666667
easyexcel,com.alibaba.excel.converters.byteconverter,ByteBooleanConverter,,,,4,7,0.6363636363636364,3,8,0.7272727272727273,3,8,0.7272727272727273
easyexcel,com.alibaba.excel.converters.byteconverter,ByteNumberConverter,,,,1,4,0.8,1,4,0.8,1,4,0.8
easyexcel,com.alibaba.excel.converters.byteconverter,ByteStringConverter,,,,1,4,0.8,1,4,0.8,1,4,0.8
